surface	result	count	source	certainty	note
Addiren	Addieren	6	cab	cab	
grosse	große	6	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Existirenden	Existierenden	6	cab	cab	
Ueberhaupt	Überhaupt	6	cab	cab	
Increment	Inkrement	6	cab	cab	
Hiedurch	Hierdurch	6	hegel1+cab	sure	
durchloffenen	durchlaufenen	6	cab	cab	
grössere	größere	6	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
formirte	formierte	6	cab	cab	
Specifische	Spezifische	6	cab	cab	
Triplicität	Triplizität	6	hegel1+cab	sure	
Reaction	Reaktion	6	hegel1+cab	sure	
Verhältnißzahlen	Verhältniszahlen	6	cab	cab	
sichseyende	sichseiende	6	hegel1	sure	
mahl	Mal	6	cab	cab	
Activität	Aktivität	6	cab	cab	
ursachliche	ursächliche	6	cab	cab	
Reflexionsurtheile	Reflexionsurteile	6	cab	cab	
particulären	partikulären	6	cab	cab	
disjunctive	disjunktive	6	cab	cab	
sämmtlichen	sämtlichen	5	cab	cab	
bewußtlos	bewusstlos	5	hegel1	sure	
eigenthümliches	eigentümliches	5	hegel1+cab	sure	
abstrahiren	abstrahieren	5	hegel1+cab	sure	
Production	Produktion	5	cab	cab	
Bestandtheile	Bestandteile	5	cab	cab	
abstrahirende	abstrahierende	5	cab	cab	
Befreyung	Befreiung	5	hegel1+cab	sure	
Merkmahle	Merkmale	5	hegel1+cab	sure	
todten	toten	5	hegel1+cab	sure	
resultirt	resultiert	5	hegel1+cab	sure	
meynen	meinen	5	hegel1+cab	sure	
Ausserdem	Außerdem	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Objectiven	Objektiven	5	hegel1+cab	sure	
abstrahirenden	abstrahierenden	5	cab	cab	
Thuns	Tuns	5	hegel1+cab	sure	
theilt	teilt	5	hegel1+cab	sure	
tavtologische	tautologische	5	cab	cab	
wegläßt	weglässt	5	hegel1	sure	
hervorthut	hervortut	5	hegel1+cab	sure	
angethan	angetan	5	hegel1+cab	sure	
Wiederhohlen	Wiederholen	5	cab	cab	
mannichfaltig	mannigfaltig	5	hegel1+cab	sure	
Beym	Beim	5	cab	cab	
ertheilt	erteilt	5	hegel1+cab	sure	
Einsseyn	Einssein	5	hegel1+cab	sure	
Fürsichseyendes	Fürsichseiendes	5	mech	mech	
Monstriren	Monstrieren	5	cab	cab	
Aeusserlichen	Äußerlichen	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
befreyen	befreien	5	hegel1+cab	sure	
Gegentheils	Gegenteils	5	hegel1+cab	sure	
Zweyheit	Zweiheit	5	hegel1+cab	sure	
Zurückgekehrtseyn	Zurückgekehrtsein	5	cab	cab	
abstractere	abstraktere	5	cab	cab	
Causalitätsverhältniß	Causalitätsverhältnis	5	cab	cab	
Repelliren	Repellieren	5	cab-korrigiert	sure	CAB verworfen
ausgedrükt	ausgedrückt	5	hegel1+cab	sure	
gewiß	gewiss	5	hegel1	sure	
Roth	Rot	5	hegel1+cab	sure	
continuirliches	kontinuierliches	5	cab	cab	
grossen	großen	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Fliessen	Fließen	5	cab	cab	ß beibehalten (Langvokal angenommen)
Entäusserung	Entäußerung	5	hegel1	sure	ß beibehalten (Langvokal angenommen)
constituiren	konstituieren	5	hegel1+cab	sure	
Incommensurabilität	Inkommensurabilität	5	hegel1+cab	sure	
Mißverstand	Missverstand	5	hegel1	sure	
urtheilt	urteilt	5	hegel1+cab	sure	
Zweyte	Zweite	5	hegel1+cab	sure	
Eigenthümliche	Eigentümliche	5	hegel1	sure	
Entwicklungsfunctionen	Entwicklungsfunktionen	5	manual	sure	
Increments	Inkrements	5	cab	cab	
Modificationen	Modifikationen	5	cab	cab	
Uebergänge	Übergänge	5	hegel1+cab	sure	
formirt	formiert	5	cab	cab	
rechtwinklichten	rechtwinkligen	5	hegel1+cab	sure	
grösser	größer	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
hiesse	hieße	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Behuffe	Behufe	5	cab	cab	
Uebrigens	Übrigens	5	cab	cab	
active	aktive	5	cab	cab	
entzweyt	entzweit	5	hegel1+cab	sure	
entäussert	entäußert	5	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
mannichfaltiges	mannigfaltiges	5	hegel1+cab	sure	
Gedächtniß	Gedächtnis	5	hegel1+cab	sure	
zurükführt	zurückführt	5	cab	cab	
freyer	freier	5	hegel1+cab	sure	
verlauffen	verlaufen	5	hegel1+cab	sure	
